,,,Average Rank,Songs in 250,Entries,%,Average Change
1,🇲🇦,Morocco,87.00,1,1,100.00%,41.00
2,🏳,Serbia & Montenegro,128.00,2,2,100.00%,15.00
3,🇺🇦,Ukraine,447.40,11,20,55.00%,18.26
4,🇷🇸,Serbia,516.18,5,17,29.41%,51.13
5,🇹🇷,Türkiye,696.32,6,34,17.65%,11.53
6,🇮🇹,Italy,702.67,13,51,25.49%,-83.74
7,🇦🇲,Armenia,726.94,3,17,17.65%,110.63
8,🇦🇺,Australia,728.00,3,10,30.00%,99.33
9,🇸🇪,Sweden,747.56,9,64,14.06%,-34.62
10,🇧🇦,Bosnia & Herzegovina,751.47,4,19,21.05%,8.84
11,🇫🇷,France,758.87,12,68,17.65%,-71.33
12,🇵🇹,Portugal,760.04,13,56,23.21%,-65.75
13,🇬🇷,Greece,766.00,10,45,22.22%,72.39
14,🇧🇬,Bulgaria,766.40,4,15,26.67%,58.87
15,🇸🇮,Slovenia,773.37,6,30,20.00%,-43.76
16,🇦🇱,Albania,778.67,2,21,9.52%,53.20
17,🏳,Yugoslavia,782.44,4,27,14.81%,-51.15
18,🇪🇪,Estonia,796.71,3,31,9.68%,-48.00
19,🇮🇸,Iceland,813.00,5,37,13.51%,-46.78
20,🇳🇴,Norway,821.49,12,63,19.05%,-57.71
21,🇫🇮,Finland,822.66,11,58,18.97%,-29.56
22,🇪🇸,Spain,825.16,10,64,15.63%,24.78
23,🇲🇩,Moldova,848.10,2,20,10.00%,75.32
24,🇭🇺,Hungary,849.68,4,19,21.05%,-48.53
25,🇩🇪,Germany,851.51,9,70,12.86%,-19.38
26,🇭🇷,Croatia,852.07,4,30,13.33%,10.90
27,🇳🇱,Netherlands,855.56,9,66,13.64%,-71.85
28,🇬🇧,United Kingdom,888.27,8,67,11.94%,15.65
29,🇩🇰,Denmark,893.85,8,54,14.81%,-1.21
30,🇬🇪,Georgia,915.65,3,17,17.65%,-129.31
31,🇨🇾,Cyprus,951.32,4,41,9.76%,34.50
32,🇲🇨,Monaco,960.71,3,24,12.50%,-50.58
33,🇱🇺,Luxembourg,977.38,6,39,15.38%,-87.55
34,🇮🇪,Ireland,994.31,7,58,12.07%,-40.65
35,🇸🇰,Slovakia,999.38,1,8,12.50%,-110.00
36,🇷🇴,Romania,1000.77,1,26,3.85%,39.31
37,🇲🇰,North Macedonia,1004.30,2,23,8.70%,66.13
38,🇮🇱,Israel,1004.40,3,48,6.25%,-77.91
39,🇨🇿,Czechia,1007.92,1,13,7.69%,-31.58
40,🇨🇭,Switzerland,1014.95,8,66,12.12%,-49.34
41,🇧🇪,Belgium,1018.51,4,67,5.97%,-60.33
42,🇦🇿,Azerbaijan,1019.53,0,17,0.00%,7.69
43,🇱🇹,Lithuania,1023.24,3,25,12.00%,-3.58
44,🇱🇻,Latvia,1042.24,2,25,8.00%,-13.79
45,🇷🇺,Russia,1043.80,3,25,12.00%,11.16
46,🇲🇪,Montenegro,1088.67,1,12,8.33%,8.67
47,🇦🇹,Austria,1089.51,2,57,3.51%,-55.29
48,🇦🇩,Andorra,1106.17,0,6,0.00%,-110.17
49,🇵🇱,Poland,1126.26,1,27,3.70%,-0.81
50,🇲🇹,Malta,1145.14,0,37,0.00%,2.58
51,🇸🇲,San Marino,1209.13,1,15,6.67%,22.71
52,🇧🇾,Belarus,1234.41,1,17,5.88%,34.82
