,,,Average Rank,Songs in 250,Entries,%
1,🇲🇦,Morocco,128.00,1,1,100.00%
2,🏳,Serbia & Montenegro,143.00,1,2,50.00%
3,🇺🇦,Ukraine,483.74,7,19,36.84%
4,🇷🇸,Serbia,566.81,5,16,31.25%
5,🇮🇹,Italy,631.72,14,50,28.00%
6,🇫🇷,France,692.84,15,67,22.39%
7,🇵🇹,Portugal,706.31,12,55,21.82%
8,🇹🇷,Türkiye,707.85,5,34,14.71%
9,🇸🇪,Sweden,710.35,10,63,15.87%
10,🏳,Yugoslavia,731.30,3,27,11.11%
11,🇮🇸,Iceland,741.53,7,36,19.44%
12,🇸🇮,Slovenia,744.21,7,29,24.14%
13,🇧🇦,Bosnia & Herzegovina,760.32,4,19,21.05%
14,🇪🇪,Estonia,761.63,4,30,13.33%
15,🇳🇴,Norway,776.11,12,62,19.35%
16,🇦🇱,Albania,785.75,2,20,10.00%
17,🇫🇮,Finland,786.61,10,57,17.54%
18,🇬🇪,Georgia,793.25,2,16,12.50%
19,🇳🇱,Netherlands,793.42,9,65,13.85%
20,🇦🇺,Australia,794.89,2,9,22.22%
21,🇭🇺,Hungary,801.16,4,19,21.05%
22,🇩🇪,Germany,824.67,9,69,13.04%
23,🇧🇬,Bulgaria,825.27,4,15,26.67%
24,🇬🇷,Greece,852.20,6,44,13.64%
25,🇪🇸,Spain,857.13,8,63,12.70%
26,🇦🇲,Armenia,877.31,1,16,6.25%
27,🇲🇩,Moldova,882.32,2,19,10.53%
28,🇸🇰,Slovakia,889.38,0,8,0.00%
29,🇭🇷,Croatia,889.41,3,29,10.34%
30,🇩🇰,Denmark,890.15,8,53,15.09%
31,🇱🇺,Luxembourg,891.89,7,38,18.42%
32,🇬🇧,United Kingdom,903.36,8,66,12.12%
33,🇲🇨,Monaco,910.13,3,24,12.50%
34,🇮🇱,Israel,910.91,7,47,14.89%
35,🇧🇪,Belgium,965.02,7,66,10.61%
36,🇮🇪,Ireland,970.60,7,57,12.28%
37,🇨🇭,Switzerland,981.09,8,65,12.31%
38,🇨🇾,Cyprus,981.65,5,40,12.50%
39,🇦🇿,Azerbaijan,994.56,0,16,0.00%
40,🇦🇩,Andorra,996.00,0,6,0.00%
41,🇨🇿,Czechia,1028.42,1,12,8.33%
42,🇱🇻,Latvia,1039.38,3,24,12.50%
43,🇷🇴,Romania,1040.08,1,26,3.85%
44,🇦🇹,Austria,1041.09,2,56,3.57%
45,🇷🇺,Russia,1054.96,3,25,12.00%
46,🇱🇹,Lithuania,1059.79,3,24,12.50%
47,🇲🇰,North Macedonia,1070.43,2,23,8.70%
48,🇲🇪,Montenegro,1097.33,1,12,8.33%
49,🇵🇱,Poland,1132.04,3,26,11.54%
50,🇲🇹,Malta,1155.92,0,36,0.00%
51,🇸🇲,San Marino,1227.14,1,14,7.14%
52,🇧🇾,Belarus,1269.24,1,17,5.88%
