,,Average Rank,Songs in 250,Entries,%,CTA
1,1969,601.56,4,16,25.00%,🇬🇧
2,1996,605.17,6,23,26.09%,🇸🇮
3,1993,635.60,8,25,32.00%,🇭🇷
4,1977,638.94,3,18,16.67%,🇳🇴
5,1983,639.35,5,20,25.00%,🇧🇪
6,1980,640.95,4,19,21.05%,🇵🇹
7,1995,642.35,7,23,30.43%,🇮🇱
8,1997,654.92,7,25,28.00%,🇵🇹
9,1981,683.70,5,20,25.00%,🇨🇾
10,1976,705.17,3,18,16.67%,🇨🇭
11,1963,709.69,3,16,18.75%,🇦🇹
12,1979,710.53,4,19,21.05%,🇬🇷
13,1994,719.44,7,25,28.00%,🇫🇮
14,2023,727.11,9,37,24.32%,🇩🇪
15,1972,732.72,3,18,16.67%,🇳🇱
16,1968,742.35,3,17,17.65%,🇪🇸
17,1990,747.45,3,22,13.64%,🇨🇭
18,1975,750.00,2,19,10.53%,🇨🇭
19,1998,758.92,3,25,12.00%,🇫🇮
20,1971,759.39,2,18,11.11%,🇳🇴
21,1974,769.65,2,17,11.76%,🇵🇹
22,1973,776.00,3,17,17.65%,🇫🇮
23,1970,780.42,1,12,8.33%,🇪🇸
24,1985,782.95,2,19,10.53%,🇮🇹
25,1956,785.79,1,14,7.14%,🇳🇱
26,1966,794.56,2,18,11.11%,🇧🇪
27,1982,797.22,3,18,16.67%,🇳🇴
28,1988,803.19,3,21,14.29%,🏳
29,1964,815.56,1,16,6.25%,🇳🇴
30,1991,818.59,4,22,18.18%,🇲🇹
31,1989,820.68,3,22,13.64%,🇬🇷
32,2022,824.18,9,40,22.50%,🇭🇷
33,2010,843.13,4,39,10.26%,🇷🇺
34,2018,847.58,5,43,11.63%,🇮🇱
35,1986,855.35,2,20,10.00%,🇫🇷
36,1967,859.59,1,17,5.88%,🇳🇴
37,1984,861.47,3,19,15.79%,🇪🇸
38,2021,867.77,9,39,23.08%,🇮🇪
39,1992,870.00,2,23,8.70%,🇩🇰
40,1957,871.40,1,10,10.00%,🇫🇷
41,2014,872.08,4,37,10.81%,🇦🇱
42,2019,888.12,7,41,17.07%,🇨🇾
43,2012,890.33,7,42,16.67%,🇹🇷
44,2009,891.02,8,42,19.05%,🇸🇮
45,2015,905.85,6,40,15.00%,🇦🇱
46,2020,908.76,6,41,14.63%,🇦🇺
47,2013,909.18,6,39,15.38%,🇪🇸
48,1958,912.30,1,10,10.00%,🇧🇪
49,1987,912.50,2,22,9.09%,🇵🇹
50,1999,925.74,4,23,17.39%,🇦🇹
51,1959,928.55,0,11,0.00%,🇩🇰
52,2005,929.26,4,39,10.26%,🇵🇱
53,2016,935.48,2,42,4.76%,🇳🇱
54,2007,938.55,5,42,11.90%,🇷🇴
55,1978,940.35,1,20,5.00%,🇨🇭
56,1965,968.56,1,18,5.56%,🇳🇴
57,1961,988.69,2,16,12.50%,🇨🇭
58,1962,994.81,1,16,6.25%,🇳🇱
59,2003,1004.69,2,26,7.69%,🇪🇸
60,2011,1010.74,7,43,16.28%,🇬🇧
61,1960,1028.00,0,13,0.00%,🇨🇭
62,2008,1042.67,4,43,9.30%,🇨🇾
63,2017,1043.71,4,42,9.52%,🇺🇦
64,2000,1045.08,2,24,8.33%,🇷🇴
65,2006,1079.76,4,37,10.81%,🇲🇰
66,2001,1097.04,3,23,13.04%,🇬🇧
67,2002,1102.17,2,24,8.33%,🇪🇸
68,2004,1160.86,3,36,8.33%,🇲🇹
