,,Average Rank,Songs in 250,Entries,%,Average Change
1,1980,638.47,4,19,21.05%,2.47
2,1969,650.88,4,16,25.00%,-49.31
3,1977,658.83,4,18,22.22%,-19.89
4,1996,681.57,5,23,21.74%,-76.39
5,1993,685.80,8,25,32.00%,-50.20
6,2024,706.14,11,37,29.73%,
7,1981,730.15,4,20,20.00%,-46.45
8,2023,732.68,11,37,29.73%,-5.57
9,1974,747.65,3,17,17.65%,22.00
10,1983,748.85,4,20,20.00%,-109.50
11,1997,750.24,5,25,20.00%,-95.32
12,1995,750.30,6,23,26.09%,-107.96
13,1975,769.53,3,19,15.79%,-19.53
14,1968,772.18,1,17,5.88%,-29.82
15,1979,776.79,4,19,21.05%,-66.26
16,1976,778.61,3,18,16.67%,-73.44
17,1990,784.55,3,22,13.64%,-37.09
18,1994,789.40,6,25,24.00%,-69.96
19,1971,791.39,3,18,16.67%,-32.00
20,2022,798.58,10,40,25.00%,25.60
21,1973,816.47,2,17,11.76%,-40.47
22,1985,819.53,2,19,10.53%,-36.58
23,1998,820.52,3,25,12.00%,-61.60
24,1970,829.17,1,12,8.33%,-48.75
25,2010,837.74,5,39,12.82%,5.38
26,1982,839.44,5,18,27.78%,-42.22
27,1972,847.56,2,18,11.11%,-114.83
28,1963,850.06,3,16,18.75%,-140.38
29,2014,850.97,5,37,13.51%,21.11
30,2012,858.02,6,42,14.29%,32.31
31,2018,859.51,5,43,11.63%,-11.93
32,1991,864.14,3,22,13.64%,-45.55
33,1966,866.39,1,18,5.56%,-71.83
34,1967,871.06,0,17,0.00%,-11.47
35,2021,876.15,7,39,17.95%,-8.38
36,1989,882.45,3,22,13.64%,-61.77
37,1964,884.44,1,16,6.25%,-68.88
38,2015,887.25,6,40,15.00%,18.60
39,2013,887.59,6,39,15.38%,21.59
40,2020,889.17,5,41,12.20%,19.59
41,1992,898.91,2,23,8.70%,-28.91
42,2005,902.85,5,39,12.82%,26.41
43,2009,909.05,9,42,21.43%,-18.02
44,1984,912.16,3,19,15.79%,-50.68
45,1988,914.29,2,21,9.52%,-111.10
46,2019,921.32,8,41,19.51%,-33.20
47,1956,929.57,1,14,7.14%,-143.79
48,2007,929.95,5,42,11.90%,8.60
49,2016,935.10,3,42,7.14%,0.38
50,1987,937.50,1,22,4.55%,-25.00
51,1986,941.50,1,20,5.00%,-86.15
52,1999,953.13,3,23,13.04%,-27.39
53,1959,958.18,0,11,0.00%,-29.64
54,2011,964.98,5,43,11.63%,45.77
55,1978,969.25,1,20,5.00%,-28.90
56,2006,1005.86,5,37,13.51%,73.89
57,2003,1008.12,2,26,7.69%,-3.42
58,1958,1012.50,2,10,20.00%,-100.20
59,1961,1017.06,2,16,12.50%,-28.38
60,2008,1028.23,4,43,9.30%,14.44
61,2017,1029.19,4,42,9.52%,14.52
62,2000,1035.04,0,24,0.00%,10.04
63,1957,1038.00,1,10,10.00%,-166.60
64,1965,1050.11,1,18,5.56%,-81.56
65,1962,1055.63,1,16,6.25%,-60.81
66,2002,1063.42,1,24,4.17%,38.75
67,2001,1097.48,3,23,13.04%,-0.43
68,1960,1114.08,0,13,0.00%,-86.08
69,2004,1169.14,2,36,5.56%,-8.28
